Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
2017,Females,45–54,49,3
2017,Females,55–64,73,5.03
2017,Females,65–74,107,9.77
2017,Females,75–84,123,20.07
2017,Females,85–94,136,44.37
2017,Males,15–24,3,0.15
2017,Males,25–34,6,0.3
2017,Males,35–44,16,0.94
2017,Males,45–54,54,3.44
2017,Males,55–64,145,10.44
2017,Males,65–74,222,21.02
2017,Males,75–84,253,47.65
2017,Males,85–94,204,110.79
2017,Persons,15–24,5,0.17
2017,Persons,25–34,14,0.35
2017,Persons,35–44,36,1.1
2017,Persons,45–54,103,3.23
2017,Persons,55–64,218,7.68
2017,Persons,65–74,329,15.25
2017,Persons,75–84,376,32.86
2017,Persons,85–94,340,69.31
2018,Females,15–24,1,0.1
2018,Females,25–34,6,0.3
2018,Females,35–44,23,1.35
2018,Females,45–54,34,2.07
2018,Females,55–64,49,3.26
2018,Females,65–74,110,9.68
2018,Females,75–84,120,19.04
2018,Females,85–94,114,36.82
2018,Males,15–24,0,
2018,Males,25–34,10,0.54
2018,Males,35–44,24,1.45
2018,Males,45–54,62,3.93
2018,Males,55–64,135,9.58
2018,Males,65–74,238,21.87
2018,Males,75–84,284,51.59
2018,Males,85–94,200,106.02
2018,Persons,15–24,1,0.1
2018,Persons,25–34,16,0.4
2018,Persons,35–44,47,1.4
2018,Persons,45–54,96,2.97
2018,Persons,55–64,184,6.39
2018,Persons,65–74,348,15.68
2018,Persons,75–84,404,34.18
2018,Persons,85–94,314,63.04
2019,Females,15–24,1,0.1
2019,Females,25–34,6,0.3
2019,Females,35–44,16,0.99
2019,Females,45–54,28,1.75
2019,Females,55–64,62,4.09
2019,Females,65–74,90,7.66
2019,Females,75–84,131,19.96
2019,Females,85–94,130,41.46
2019,Males,15–24,0,
2019,Males,25–34,8,0.4
2019,Males,35–44,18,1.09
2019,Males,45–54,68,4.33
2019,Males,55–64,125,8.7
2019,Males,65–74,239,21.47
2019,Males,75–84,285,49.41
2019,Males,85–94,202,104.24
2019,Persons,15–24,1,0.1
2019,Persons,25–34,14,0.35
2019,Persons,35–44,34,1.04
2019,Persons,45–54,96,2.99
2019,Persons,55–64,187,6.38
2019,Persons,65–74,329,14.35
2019,Persons,75–84,416,33.77
2019,Persons,85–94,332,65.5
2020,Females,15–24,1,0.1
2020,Females,25–34,3,0.3
2020,Females,35–44,13,0.71
2020,Females,45–54,35,2.13
2020,Females,55–64,65,4.24
2020,Females,65–74,88,7.16
2020,Females,75–84,122,17.76
2020,Females,85–94,136,42.68
2020,Males,15–24,1,0.1
2020,Males,25–34,5,0.5
2020,Males,35–44,24,1.39
2020,Males,45–54,50,3.1
2020,Males,55–64,108,7.42
2020,Males,65–74,225,19.58
2020,Males,75–84,290,47.68
2020,Males,85–94,250,124.88
2020,Persons,15–24,2,0.1
2020,Persons,25–34,8,0.4
2020,Persons,35–44,37,1.07
2020,Persons,45–54,85,2.59
2020,Persons,55–64,173,5.73
2020,Persons,65–74,313,13.2
2020,Persons,75–84,412,31.83
2020,Persons,85–94,386,74.45
2021,Females,15–24,0,
2021,Females,25–34,5,0.25
2021,Females,35–44,13,0.72
2021,Females,45–54,36,2.21
2021,Females,55–64,52,3.4
2021,Females,65–74,105,8.35
2021,Females,75–84,142,19.89
2021,Females,85–94,144,44.27
2021,Males,15–24,1,0.1
2021,Males,25–34,5,0.25
2021,Males,35–44,20,1.18
2021,Males,45–54,51,3.19
2021,Males,55–64,110,7.46
2021,Males,65–74,232,19.75
2021,Males,75–84,315,49.39
2021,Males,85–94,224,107.29
2021,Persons,15–24,1,0.1
2021,Persons,25–34,10,0.3
2021,Persons,35–44,33,0.91
2021,Persons,45–54,87,2.65
2021,Persons,55–64,162,5.38
2021,Persons,65–74,337,13.86
2021,Persons,75–84,457,33.77
2021,Persons,85–94,368,68.91
2022,Females,15–24,0,
2022,Females,25–34,1,0.1
2022,Females,35–44,12,0.64
2022,Females,45–54,28,1.69
2022,Females,55–64,47,3.04
2022,Females,65–74,93,7.31
2022,Females,75–84,142,18.7
2022,Females,85–94,141,42.49
2022,Males,15–24,1,0.1
2022,Males,25–34,4,0.4
2022,Males,35–44,16,0.87
2022,Males,45–54,43,2.65
2022,Males,55–64,93,6.27
2022,Males,65–74,199,16.88
2022,Males,75–84,286,42.06
2022,Males,85–94,237,109.02
2022,Persons,15–24,1,0.1
2022,Persons,25–34,5,0.3
2022,Persons,35–44,28,0.79
2022,Persons,45–54,71,2.2
2022,Persons,55–64,140,4.65
2022,Persons,65–74,292,11.96
2022,Persons,75–84,428,29.74
2022,Persons,85–94,378,68.83
2023,Females,15–24,0,
2023,Females,25–34,0,
2023,Females,35–44,11,0.59
2023,Females,45–54,25,1.54
2023,Females,55–64,42,2.69
2023,Females,65–74,90,6.94
2023,Females,75–84,148,18.46
2023,Females,85–94,145,42.82
2023,Males,15–24,1,0.1
2023,Males,25–34,3,0.3
2023,Males,35–44,14,0.74
2023,Males,45–54,38,2.35
2023,Males,55–64,81,5.44
2023,Males,65–74,187,15.65
2023,Males,75–84,285,39.83
2023,Males,85–94,244,108.81
2023,Persons,15–24,1,0.1
2023,Persons,25–34,3,0.2
2023,Persons,35–44,25,0.65
2023,Persons,45–54,63,1.9
2023,Persons,55–64,123,3.99
2023,Persons,65–74,277,11.11
2023,Persons,75–84,433,28.51
2023,Persons,85–94,389,69.09
