Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
1989,Females,25–34,11,0.78
1989,Females,35–44,34,2.77
1989,Females,45–54,42,4.98
1989,Females,55–64,49,6.71
1989,Females,65–74,51,8.39
1989,Females,75–84,68,19.52
1989,Females,85–94,22,21.34
1989,Males,15–24,5,0.35
1989,Males,25–34,22,1.59
1989,Males,35–44,44,3.5
1989,Males,45–54,72,8.08
1989,Males,55–64,114,15.49
1989,Males,65–74,137,26.37
1989,Males,75–84,91,40.09
1989,Males,85–94,16,39.99
1989,Persons,15–24,9,0.35
1989,Persons,25–34,33,1.19
1989,Persons,35–44,78,3.08
1989,Persons,45–54,114,6.6
1989,Persons,55–64,163,11.1
1989,Persons,65–74,188,16.7
1989,Persons,75–84,159,27.62
1989,Persons,85–94,38,26.52
1990,Females,15–24,3,0.4
1990,Females,25–34,19,1.35
1990,Females,35–44,45,3.48
1990,Females,45–54,33,3.71
1990,Females,55–64,51,6.98
1990,Females,65–74,70,11.27
1990,Females,75–84,64,17.75
1990,Females,85–94,31,29.34
1990,Males,15–24,4,0.23
1990,Males,25–34,24,1.71
1990,Males,35–44,49,3.79
1990,Males,45–54,87,9.4
1990,Males,55–64,109,14.85
1990,Males,65–74,130,24.43
1990,Males,75–84,89,37.81
1990,Males,85–94,19,45.68
1990,Persons,15–24,7,0.28
1990,Persons,25–34,43,1.55
1990,Persons,35–44,94,3.64
1990,Persons,45–54,120,6.64
1990,Persons,55–64,160,10.91
1990,Persons,65–74,200,17.35
1990,Persons,75–84,153,25.69
1990,Persons,85–94,50,34.01
1991,Females,15–24,2,0.13
1991,Females,25–34,15,1.07
1991,Females,35–44,26,2
1991,Females,45–54,40,4.4
1991,Females,55–64,69,9.47
1991,Females,65–74,58,9.17
1991,Females,75–84,52,14
1991,Females,85–94,29,26.4
1991,Males,15–24,4,0.23
1991,Males,25–34,20,1.37
1991,Males,35–44,52,3.95
1991,Males,45–54,76,7.87
1991,Males,55–64,104,14.15
1991,Males,65–74,134,24.45
1991,Males,75–84,96,39.48
1991,Males,85–94,26,58.83
1991,Persons,15–24,6,0.18
1991,Persons,25–34,35,1.25
1991,Persons,35–44,78,2.99
1991,Persons,45–54,116,6.2
1991,Persons,55–64,173,11.82
1991,Persons,65–74,192,16.25
1991,Persons,75–84,148,24.08
1991,Persons,85–94,55,35.69
1992,Females,15–24,5,0.35
1992,Females,25–34,19,1.31
1992,Females,35–44,42,3.15
1992,Females,45–54,48,5.03
1992,Females,55–64,43,5.84
1992,Females,65–74,82,12.7
